Local_Auth_Code,x,y,geo_area,EU_zone_agglom,Total_PM25,Motorway_in,Motorway_out,Trunk_A_Rd_in,Trunk_A_Rd_out,Primary_A_Rd_in,Primary_A_Rd_out,Minor_Rd.Cold_Start_in,Minor_Rd.Cold_Start_out,Brake.Tyre_in,Brake.Tyre_out,Road_Abrasion_in,Road_Abrasion_out,Industry_in,Industry_out,Domestic_in,Domestic_out,Rail_in,Rail_out,Other_in,Other_out,PM_secondary,Residual.Salt,Point_Sources,Sex,AgeGroup,Pathogen,RatePer100000
S12000036,318500,672500,1,25,5.097773,0,0.01041,0,0.009657,0.014936,0.015092,0.01508,0.03384,0.08996,0.1799,0.029903,0.070915,0.083289,0.523296,0.167452,0.356413,0.007255,0.00802,0.0111,0.126495,2.549347,0.732455,0.062958,Male,45-64 years,Seasonal coronavirus (Non-SARS-CoV-2),0.272704341
S12000036,319500,672500,1,25,5.19415,0,0.007839,0,0.007793,0.011178,0.016084,0.025869,0.036462,0.099961,0.180903,0.032595,0.068331,0.119594,0.495705,0.234761,0.407543,0.004217,0.009255,0.02217,0.121414,2.549347,0.679337,0.063792,Female,65-74 years,Adenovirus,0.342083838
S12000036,320500,672500,1,25,5.011401,0,0.006648,0,0.006608,0.010082,0.015712,0.018265,0.036691,0.068228,0.17431,0.022425,0.064862,0.100737,0.480074,0.164433,0.409981,6.82E-04,0.010304,0.017697,0.114492,2.540282,0.682782,0.066104,Female,65-74 years,Human metapneumovirus,0.342083838
S12000036,321500,672500,1,25,4.960937,0,0.005358,0,0.006267,0.005145,0.017523,0.010424,0.037722,0.041727,0.174075,0.013679,0.063683,0.073295,0.504711,0.099473,0.420249,0.008085,0.009643,0.011351,0.12211,2.540282,0.717936,0.078199,Female,65-74 years,Influenza - Type A (any subtype),2.736670703
S12000036,322500,672500,1,25,5.512724,0,0.004423,0,0.006068,0.007465,0.018216,0.014396,0.039262,0.050578,0.171877,0.016496,0.062263,0.609349,0.456912,0.098057,0.427724,0.01039,0.011461,0.110016,0.118136,2.540282,0.6842,0.055152,Female,65-74 years,Influenza - Type A (not subtyped),0
S12000036,323500,672500,1,25,5.419944,0,0.003734,0,0.005913,0.015568,0.017691,0.027568,0.041792,0.086921,0.166592,0.028608,0.060075,0.144255,0.543486,0.198443,0.436149,0.012387,0.011607,0.099238,0.131066,2.540282,0.750188,0.098381,Female,65-74 years,Influenza - Type A or B,2.736670703
S12000036,324500,672500,1,25,5.222668,0,0.003201,0,0.005893,0.012972,0.018417,0.026686,0.045546,0.074067,0.166984,0.024332,0.059965,0.145341,0.513387,0.202419,0.454683,0,0.011915,0.040984,0.135136,2.540282,0.658063,0.082395,Female,65-74 years,Influenza - Type A(H1N1)pdm09,0
S12000036,325500,672500,1,25,5.048256,0,0.002767,0,0.005873,0.006978,0.018191,0.024831,0.044726,0.051389,0.162858,0.016656,0.058456,0.133968,0.499132,0.138605,0.456274,0,0.009303,0.036106,0.129196,2.541623,0.629059,0.082266,Female,65-74 years,Influenza - Type A(H3),2.736670703
S12000036,326500,672500,1,25,5.104807,0,0.002402,0,0.005837,0.020396,0.014914,0.027121,0.039407,0.091726,0.148064,0.030505,0.053359,0.145796,0.459782,0.179394,0.424321,0,0.008338,0.052857,0.121232,2.541623,0.652993,0.084741,Female,65-74 years,Influenza - Type B,0
S12000036,327500,672500,1,25,4.610259,0,0.00209,0,0.005857,8.81E-04,0.018016,0.0044,0.036822,0.016405,0.154595,0.005334,0.055519,0.019194,0.427235,0.021152,0.423806,0,0.007723,0.003375,0.114869,2.541623,0.664683,0.086679,Female,65-74 years,Mycoplasma pneumoniae,0
S12000036,328500,672500,1,25,4.515331,0,0.00157,0,0.005874,0,0.016415,0.005391,0.031455,0.015844,0.14359,0.005125,0.051638,0.017675,0.379858,0.02777,0.392892,5.99E-04,0.00764,0.002542,0.100386,2.541623,0.683427,0.084017,Female,65-74 years,Parainfluenza virus,0.684167676
S12000036,329500,672500,1,25,4.592798,0,8.22E-04,0,0.005908,0.00587,0.015888,0.007105,0.030308,0.036983,0.140833,0.01237,0.050274,0.042149,0.36887,0.074423,0.398941,0.00309,0.007408,0.005719,0.091444,2.541623,0.671322,0.08145,Female,65-74 years,Respiratory syncytial virus,5.473341407
